N/A,N/A
p1,p2,p3,p4,wsm6,kessler,thompson,morrison
1006.82375,1006.92703125,1006.74609375,1006.72984375,59.59249,58.908405,58.88391,59.78008
993.095,993.19703125,993.01734375,993.002578125,62.952816,61.955914,61.92238,63.15332
979.3665625,979.4675,979.2890625,979.275546875,66.72054,65.68071,65.64391,66.939354
965.63796875,965.73796875,965.560703125,965.5484375,70.82893,69.596275,69.55591,71.06315
951.909296875,952.0084375,951.8325,951.82125,75.262146,73.7985,73.75034,75.506714
938.180703125,938.27921875,938.1046875,938.0940625,80.046486,78.22217,78.16314,80.293465
924.452265625,924.55046875,924.3775,924.366796875,85.158875,82.76873,82.69205,85.39708
910.72421875,910.8228125,910.6515625,910.639609375,90.71378,87.02064,86.91469,90.91046
896.99953125,897.09765625,896.928671875,896.915,93.95422,89.57327,89.41451,93.9802
883.282734375,883.378125,883.21234375,883.1984375,93.22287,88.551605,88.30278,93.08845
869.578125,869.67046875,869.5075,869.49390625,86.692474,82.564445,82.35314,86.61284
855.88421875,855.973828125,855.812578125,855.79984375,83.056946,81.3342,81.1717,82.98607
842.1965625,842.28359375,842.1240625,842.1121875,82.197784,79.48264,79.404144,82.17461
828.51375,828.599375,828.4421875,828.429375,81.663506,77.90498,77.86013,81.64203
814.835546875,814.920625,814.76609375,814.75125,81.018105,76.96854,76.91266,80.99768
801.162109375,801.246875,801.094921875,801.07796875,80.24044,76.06753,76.03589,80.226746
787.4934375,787.578125,787.4284375,787.40953125,79.41118,75.00951,75.03446,79.40122
773.829375,773.91453125,773.7665625,773.745859375,78.5603,73.84634,73.94174,78.550156
760.169921875,760.2559375,760.10921875,760.086953125,77.68101,72.64546,72.808685,77.6693
746.515078125,746.6025,746.45640625,746.4328125,76.76132,71.44714,71.661415,76.74659
732.864765625,732.95375,732.808046875,732.783203125,75.792625,70.2867,70.51296,75.775986
719.21890625,719.309375,719.164375,719.138125,74.76637,69.17554,69.35351,74.74692
705.577421875,705.6690625,705.525546875,705.49765625,73.65041,68.01053,68.10985,73.62583
691.94046875,692.0328125,691.891484375,691.86171875,72.278366,66.64285,66.699005,72.22378
678.30796875,678.400625,678.261875,678.23015625,71.10575,65.681915,65.718155,71.051926
664.67953125,664.7721875,664.63609375,664.60296875,69.910774,64.91447,64.95089,69.88074
651.0553125,651.147421875,651.0139453125,650.979921875,68.64211,64.25636,64.308876,68.609886
637.4350390625,637.525859375,637.395,637.3609765625,67.310425,63.8018,63.893394,67.280014
623.8184375,623.906953125,623.77859375,623.7459375,66.544876,64.51641,64.67279,66.48885
610.2,610.289921875,610.16375,610.131484375,74.36447,66.39927,66.7325,74.54435
596.58078125,596.675234375,596.5512109375,596.518046875,73.04944,65.44027,65.5544,73.10621
582.966328125,583.0637109375,582.941953125,582.90796875,73.77383,65.23718,65.33531,73.86435
569.3551953125,569.45515625,569.335703125,569.300859375,73.703445,64.517746,64.61936,73.854996
555.7469921875,555.849765625,555.732734375,555.6970703125,73.33564,63.654915,63.797756,73.52238
542.141875,542.2475390625,542.1328125,542.095859375,73.03949,62.75492,62.964935,73.33763
528.53953125,528.6483984375,528.53578125,528.49734375,72.65033,61.764996,62.0925,73.10171
514.940078125,515.0523046875,514.941484375,514.9016796875,72.19575,60.681084,61.236206,72.83566
501.3439453125,501.459140625,501.34984375,501.30859375,71.894035,59.477745,60.445473,72.63035
487.75109375,487.868828125,487.760625,487.7177734375,72.06655,58.144028,59.730812,72.524185
474.16109375,474.281171875,474.173671875,474.1291796875,72.96083,56.676807,58.967415,72.56567
460.5734375,460.696015625,460.5891015625,460.54296875,74.24309,55.097538,57.96195,72.68419
446.9878125,447.113203125,447.006875,446.95921875,75.12435,53.452957,56.546455,72.848366
433.404375,433.532578125,433.4270703125,433.377734375,75.19546,51.759308,54.630466,72.95515
419.823671875,419.9539453125,419.8496484375,419.7984375,74.61344,49.991962,52.21427,72.88442
406.2456640625,406.3771875,406.27453125,406.22125,73.617226,48.170837,49.283855,72.55493
392.670078125,392.8021875,392.701484375,392.646015625,72.31242,46.58915,45.808136,71.89244
379.09671875,379.22875,379.1302734375,379.072734375,70.77843,45.71759,41.835075,70.94546
365.525234375,365.6566015625,365.5607421875,365.50140625,69.08694,45.597603,37.545486,69.8391
351.955390625,352.08546875,351.9926171875,351.9318359375,67.39042,45.396267,33.16535,68.775604
338.38703125,338.515234375,338.425625,338.36375,65.817764,44.109188,28.829912,67.90829
324.81984375,324.945859375,324.8595703125,324.79703125,64.35204,43.337856,24.42688,67.11857
311.2537109375,311.3771875,311.29416015625,311.2315234375,62.849594,48.364433,19.652838,66.04732
297.6884765625,297.808828125,297.72927734375,297.6669921875,61.211617,60.961414,14.475077,64.5322
284.1240625,284.24052734375,284.1648046875,284.1033203125,59.59978,79.18937,9.725247,62.951286
270.5603125,270.672265625,270.6005859375,270.54033203125,58.292656,99.30663,6.742699,61.966953
256.99708984375,257.1039453125,257.0364453125,256.977890625,57.358334,99.962166,6.347327,61.675926
243.43421875,243.5355859375,243.47236328125,243.4158984375,56.722942,99.95488,8.250742,61.144756
