N/A,N/A
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
1006.82375,1006.71796875,1006.53875,1006.7946875,59.59249,58.98264,58.61115,59.044228
993.095,992.990625,992.8190625,993.064375,62.952816,62.27152,61.675587,62.19748
979.3665625,979.263515625,979.10015625,979.33453125,66.72054,65.965034,65.181435,65.85709
965.63796875,965.536171875,965.38171875,965.60484375,70.82893,70.01318,69.00887,69.77263
951.909296875,951.80859375,951.66359375,951.87546875,75.262146,74.42689,73.133705,73.964134
938.180703125,938.081171875,937.94609375,938.146328125,80.046486,79.22464,77.548256,78.375755
924.452265625,924.35421875,924.22921875,924.4178125,85.158875,84.335724,82.219666,82.85766
910.72421875,910.6284375,910.51375,910.69171875,90.71378,89.65596,87.03712,86.637856
896.99953125,896.90609375,896.8,896.97078125,93.95422,92.52366,91.5924,88.23145
883.282734375,883.19171875,883.090625,883.2584375,93.22287,91.79152,94.170944,86.28213
869.578125,869.4890625,869.394296875,869.55734375,86.692474,87.93003,80.834236,82.69103
855.88421875,855.79578125,855.710546875,855.86515625,83.056946,85.5175,78.58362,81.18012
842.1965625,842.1084375,842.031875,842.1790625,82.197784,83.58042,77.93283,79.232735
828.51375,828.42703125,828.358046875,828.498515625,81.663506,82.10307,76.97046,77.76448
814.835546875,814.75078125,814.6890625,814.82296875,81.018105,80.99567,75.97157,76.76518
801.162109375,801.079765625,801.024765625,801.1521875,80.24044,80.10005,74.9416,75.76475
787.4934375,787.41375,787.3653125,787.48625,79.41118,79.28977,73.87094,74.63198
773.829375,773.75265625,773.71046875,773.8253125,78.5603,78.47411,72.75651,73.410324
760.169921875,760.09625,760.060234375,760.169140625,77.68101,77.62184,71.60145,72.16669
746.515078125,746.44453125,746.41453125,746.5178125,76.76132,76.721504,70.418106,70.93432
732.864765625,732.7975,732.773359375,732.8709375,75.792625,75.7626,69.24397,69.785324
719.21890625,719.155,719.136484375,719.22828125,74.76637,74.726234,68.10299,68.75903
705.577421875,705.517265625,705.50390625,705.589921875,73.65041,73.56005,66.934586,67.7035
691.94046875,691.8840625,691.875703125,691.955859375,72.278366,72.034164,65.58492,66.402824
678.30796875,678.255234375,678.2515625,678.32609375,71.10575,70.81267,64.420105,65.47418
664.67953125,664.63046875,664.631328125,664.70015625,69.910774,69.67677,63.43844,64.69352
651.0553125,651.0096875,651.01453125,651.077890625,68.64211,68.45811,63.301956,64.07832
637.4350390625,637.3928125,637.3997265625,637.4584375,67.310425,67.22248,65.32444,63.898922
623.8184375,623.7783203125,623.78375,623.84046875,66.544876,66.45683,71.502884,65.07166
610.2,610.1608984375,610.168046875,610.22359375,74.36447,74.82482,72.25679,67.3697
596.58078125,596.54328125,596.5553125,596.609453125,73.04944,73.97038,73.26002,66.1123
582.966328125,582.930703125,582.94515625,582.99875,73.77383,74.31671,73.67099,65.7645
569.3551953125,569.3215625,569.337890625,569.3909765625,73.703445,74.30204,73.58832,65.02547
555.7469921875,555.715546875,555.73390625,555.7862890625,73.33564,73.61707,73.21336,64.13098
542.141875,542.1120703125,542.13359375,542.184609375,73.03949,73.04169,72.61204,63.263805
528.53953125,528.5113671875,528.5364453125,528.585625,72.65033,72.3541,72.11977,62.3529
514.940078125,514.913671875,514.941796875,514.9894921875,72.19575,71.71226,71.652275,61.5195
501.3439453125,501.31859375,501.349609375,501.396015625,71.894035,71.33289,71.321686,60.919163
487.75109375,487.7260546875,487.759921875,487.804921875,72.06655,71.471886,71.25699,60.615562
474.16109375,474.13609375,474.172421875,474.216171875,72.96083,72.090675,71.45428,60.31794
