N/A,N/A
p1,p2,p3,p4,wsm6,kessler,thompson,morrison
1005.1884375,1005.499375,1005.94890625,1005.317265625,84.64753,84.10467,82.720184,82.98014
991.4259375,991.73359375,992.18,991.5571875,88.32126,87.756454,86.36751,86.62839
977.66734375,977.9696875,978.413359375,977.8015625,91.86869,91.24249,89.92159,90.22089
963.9146875,964.207734375,964.65078125,964.053828125,92.63035,91.5871,90.69206,90.98704
950.171875,950.45046875,950.90359375,950.319375,87.67349,85.505806,84.913475,84.6538
936.43796875,936.70796875,937.174375,936.593984375,84.62411,82.69989,81.79731,81.57466
922.70765625,922.985859375,923.457109375,922.869609375,80.08426,79.149025,78.78657,78.64083
908.982734375,909.2853125,909.7521875,909.154921875,73.18741,72.63572,73.22288,72.89716
895.27125,895.6065625,896.05953125,895.4590625,65.2564,64.80737,66.11607,65.63848
881.590625,881.94078125,882.377890625,881.783046875,58.58206,58.271236,59.550972,58.977894
867.9378125,868.2825,868.70640625,868.12359375,54.211246,54.16021,54.72064,54.47381
854.294375,854.630859375,855.043359375,854.47421875,51.570198,51.652763,51.712772,51.778004
840.6584375,840.985078125,841.3871875,840.8321875,49.837902,49.968643,49.82961,50.014374
827.028671875,827.3446875,827.736796875,827.1959375,48.64883,48.812973,48.54707,48.800484
813.4040625,813.70921875,814.091484375,813.5646875,47.819084,47.98784,47.66822,47.94128
799.784140625,800.07828125,800.450625,799.9378125,47.202755,47.357925,47.04857,47.294724
786.168671875,786.4515625,786.813828125,786.315,46.703575,46.840076,46.572468,46.767063
772.5575,772.82890625,773.180859375,772.69625,46.173965,46.28991,46.07813,46.208447
758.950625,759.210234375,759.5515625,759.08140625,45.511246,45.60987,45.46067,45.518494
745.348125,745.595625,745.92609375,745.470625,44.666126,44.75788,44.669094,44.654987
731.74984375,731.985,732.30453125,731.86390625,43.630672,43.733356,43.691353,43.617825
718.155625,718.37828125,718.68671875,718.26125,42.422375,42.557014,42.542213,42.426907
704.5653125,704.775625,705.073125,704.6628125,41.068092,41.253857,41.24858,41.10933
690.978828125,691.176875,691.463515625,691.06828125,39.594296,39.84736,39.837147,39.689487
677.39578125,677.58171875,677.858125,677.47765625,38.02444,38.356472,38.32836,38.185368
663.8159375,663.99,664.25671875,663.890859375,36.375484,36.79397,36.736607,36.608353
650.238984375,650.4016796875,650.6593359375,650.30765625,34.657677,35.16638,35.070805,34.964546
636.6646875,636.8164453125,637.06578125,636.727734375,32.880127,33.475048,33.337307,33.257496
623.092734375,623.2340234375,623.47578125,623.15078125,31.049854,31.720598,31.542494,31.488153
609.522890625,609.654296875,609.889296875,609.5766015625,29.173737,29.9065,29.694864,29.657946
595.954921875,596.076953125,596.3059375,596.00484375,27.256842,28.033792,27.8026,27.764496
582.388515625,582.5017578125,582.72546875,582.435078125,25.337532,26.119745,25.88928,25.835777
568.8234375,568.92828125,569.147578125,568.8670703125,23.207397,24.023394,23.821594,23.649149
555.259609375,555.356328125,555.571875,555.300546875,21.046106,21.800234,21.661955,21.355448
541.69671875,541.78625,541.998125,541.7351953125,18.924204,19.548597,19.480635,19.063482
528.134609375,528.2185546875,528.4258984375,528.1708203125,16.855484,17.322456,17.33113,16.803974
514.5732421875,514.653125,514.8549609375,514.607265625,14.906145,15.167131,15.226177,14.687102
501.0123828125,501.0890625,501.285,501.044453125,13.153532,13.229992,13.286106,12.809107
487.451953125,487.525703125,487.715859375,487.48234375,11.641786,11.623447,11.68466,11.217162
473.891796875,473.962734375,474.147265625,473.920859375,10.391417,10.280285,10.347009,9.916184
460.331953125,460.40015625,460.579140625,460.35984375,9.336802,9.169599,9.215907,8.860001
446.772265625,446.837890625,447.0113671875,446.79921875,8.423405,8.239013,8.291854,7.953141
433.212734375,433.2759375,433.44390625,433.2388671875,7.5950637,7.428404,7.495714,7.1976714
419.653359375,419.714296875,419.87671875,419.678671875,6.8939786,6.773493,6.809071,6.589425
406.0940625,406.152890625,406.3096875,406.11859375,6.3555145,6.265444,6.287946,6.1377554
392.5348046875,392.591640625,392.742890625,392.558515625,6.0027094,5.9535675,5.9540086,5.871807
378.975625,379.030546875,379.1762109375,378.998515625,5.903957,5.8819156,5.819598,5.791814
365.4164453125,365.469609375,365.609609375,365.438515625,6.0374207,6.0367074,5.921798,5.945426
351.857265625,351.9087109375,352.043046875,351.878515625,6.3970394,6.3775887,6.2954593,6.343966
338.298046875,338.347890625,338.476484375,338.3185546875,7.001835,6.9408054,6.9614606,6.98627
324.73888671875,324.7871875,324.91,324.7586328125,7.9195247,7.823487,7.9700294,7.908076
311.1797265625,311.22650390625,311.34349609375,311.19875,9.234094,9.133516,9.384987,9.172136
297.620546875,297.665859375,297.77703125,297.638828125,11.077028,10.999386,11.29456,10.918433
284.06140625,284.10521484375,284.21056640625,284.0789453125,13.693313,13.611164,13.846692,13.31905
270.50224609375,270.54458984375,270.644140625,270.5190234375,17.27426,17.333212,17.214098,16.649487
256.9430859375,256.9839453125,257.0776953125,256.9590234375,21.701906,22.612993,21.461618,21.23342
243.38390625,243.42328125,243.51126953125,243.39896484375,26.581797,29.999134,26.471746,27.291653
229.8248046875,229.86265625,229.944921875,229.83890625,31.162893,40.43042,31.890541,34.593693
216.26572265625,216.30203125,216.37857421875,216.2788671875,34.71916,55.982136,37.107857,41.85246
202.7066796875,202.74140625,202.812265625,202.71890625,36.909428,78.74453,41.476307,46.982285
189.14767578125,189.18078125,189.24599609375,189.158984375,37.879456,96.41905,44.674843,49.310104
175.5887109375,175.6201171875,175.679765625,175.59916015625,37.98415,99.72945,47.005608,49.872368
162.02974609375,162.05935546875,162.113515625,162.039345703125,37.79962,99.87223,51.945126,51.35236
148.47080078125,148.498544921875,148.54728515625,148.479560546875,37.45874,99.87273,85.60656,90.46772
134.911884765625,134.93763671875,134.98109375,134.919814453125,32.8344,99.87198,99.98652,99.99338
121.35298828125,121.376396484375,121.41490234375,121.360068359375,6.9492493,99.86572,100.0,100.0
107.79408203125,107.81474609375,107.848701171875,107.800322265625,0.073961765,99.86387,100.0,99.99978
94.2351953125,94.252646484375,94.282509765625,94.2405859375,0.0009894044,99.843544,28.628092,26.626072
80.6762939453125,80.69025390625,80.7163232421875,80.6808447265625,0.0,99.83897,8.773639,7.7631288
67.1173974609375,67.127900390625,67.15013671875,67.12111328125,0.0,99.83432,5.5732336,4.7925844
53.558466796875,53.565849609375,53.58392578125,53.56134765625,0.0,99.825294,3.9342077,3.2834797
39.999541015625,40.0042822265625,40.01771728515625,40.001591796875,0.0,99.79847,2.1290498,1.7278101
26.44064208984375,26.4431640625,26.45154296875,26.44186767578125,0.0,52.60696,0.7005357,0.5548088
12.8817431640625,12.88249267578125,12.8853759765625,12.88215087890625,0.0,1.5257369,0.019756697,0.014448574
