N/A,N/A
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
1005.1884375,1005.3359375,1005.78484375,1006.0628125,84.64753,85.56257,82.59884,85.11568
991.4259375,991.5703125,992.024609375,992.3096875,88.32126,89.985275,86.86163,89.699356
977.66734375,977.80703125,978.26578125,978.5578125,91.86869,93.30895,91.35371,93.67104
963.9146875,964.050546875,964.50828125,964.811015625,92.63035,90.825035,94.9303,91.54463
950.171875,950.3071875,950.7584375,951.07015625,87.67349,86.70565,91.01867,86.42167
936.43796875,936.57390625,937.02078125,937.33296875,84.62411,84.569695,85.202515,84.48827
922.70765625,922.84796875,923.2896875,923.601875,80.08426,79.700096,80.894295,79.54617
908.982734375,909.13734375,909.568359375,909.88046875,73.18741,72.7557,73.83954,72.68052
895.27125,895.449375,895.87109375,896.17140625,65.2564,65.1025,65.269165,65.07516
881.590625,881.77953125,882.194140625,882.476171875,58.58206,58.80628,58.07841,58.767464
867.9378125,868.119765625,868.526640625,868.793671875,54.211246,54.648365,53.410133,54.593975
854.294375,854.46828125,854.8675,855.122109375,51.570198,52.12734,50.622456,52.05063
840.6584375,840.82390625,841.215859375,841.460390625,49.837902,50.460743,48.797607,50.37442
827.028671875,827.185703125,827.570390625,827.80703125,48.64883,49.3034,47.56888,49.21506
813.4040625,813.5528125,813.93015625,814.16,47.819084,48.478,46.734272,48.38366
799.784140625,799.924765625,800.2946875,800.518359375,47.202755,47.85568,46.12581,47.751644
786.168671875,786.30109375,786.66328125,786.881328125,46.703575,47.351967,45.630325,47.235455
772.5575,772.681875,773.0359375,773.24859375,46.173965,46.82129,45.106537,46.690155
758.950625,759.066875,759.4125,759.61984375,45.511246,46.160072,44.455776,46.013447
745.348125,745.456328125,745.792890625,745.99515625,44.666126,45.318417,43.630188,45.15795
731.74984375,731.850234375,732.17703125,732.37453125,43.630672,44.290005,42.619976,44.118233
718.155625,718.24859375,718.56484375,718.757890625,42.422375,43.094814,41.441174,42.913292
704.5653125,704.6515625,704.95640625,705.145390625,41.068092,41.758175,40.119545,41.571056
690.978828125,691.058671875,691.3515625,691.536875,39.594296,40.301594,38.68068,40.11829
677.39578125,677.46984375,677.75015625,677.93234375,38.02444,38.74399,37.146496,38.57585
663.8159375,663.884609375,664.152265625,664.331640625,36.375484,37.099937,35.53494,36.9552
650.238984375,650.3028125,650.557734375,650.7344921875,34.657677,35.380966,33.859333,35.262093
636.6646875,636.724140625,636.9665625,637.140703125,32.880127,33.593925,32.131195,33.502205
623.092734375,623.148125,623.3784765625,623.55015625,31.049854,31.746044,30.358128,31.681164
609.522890625,609.57453125,609.7934765625,609.96296875,29.173737,29.846756,28.54745,29.805763
595.954921875,596.003046875,596.211328125,596.379140625,27.256842,27.906044,26.70797,27.882471
582.388515625,582.4334375,582.631953125,582.798515625,25.337532,25.9491,24.86434,25.940256
568.8234375,568.8653515625,569.055,569.220625,23.207397,23.82031,22.868979,23.78425
555.259609375,555.2987109375,555.48046875,555.645,21.046106,21.597372,20.811861,21.58231
541.69671875,541.73328125,541.90796875,542.07109375,18.924204,19.398201,18.749153,19.384262
528.134609375,528.1688671875,528.337265625,528.49859375,16.855484,17.256073,16.741968,17.24061
514.5732421875,514.605390625,514.768125,514.927109375,14.906145,15.24445,14.87043,15.17903
501.0123828125,501.04265625,501.2001953125,501.356328125,13.153532,13.4523115,13.154488,13.292984
487.451953125,487.480546875,487.633125,487.786171875,11.641786,11.906736,11.639054,11.679168
473.891796875,473.918984375,474.06671875,474.21640625,10.391417,10.599866,10.373095,10.351725
460.331953125,460.3578125,460.50078125,460.6469921875,9.336802,9.501254,9.329162,9.268389
446.772265625,446.79703125,446.93515625,447.0778125,8.423405,8.584294,8.40913,8.342493
433.212734375,433.2365625,433.3698828125,433.50890625,7.5950637,7.7729583,7.5841227,7.5341735
419.653359375,419.676328125,419.80484375,419.94015625,6.8939786,7.054945,6.8425894,6.8605576
406.0940625,406.11625,406.240078125,406.371484375,6.3555145,6.506211,6.220041,6.363405
392.5348046875,392.5562890625,392.67546875,392.802890625,6.0027094,6.13348,5.7996583,6.038842
378.975625,378.99640625,379.111015625,379.234296875,5.903957,5.9627857,5.6026444,5.9289565
365.4164453125,365.4365625,365.546640625,365.665703125,6.0374207,5.992089,5.645462,6.0186343
351.857265625,351.8766796875,351.9823046875,352.097109375,6.3970394,6.2620397,5.94564,6.338087
338.298046875,338.316796875,338.418046875,338.528515625,7.001835,6.852954,6.518453,6.937571
324.73888671875,324.756953125,324.853828125,324.95994140625,7.9195247,7.787029,7.3674965,7.864165
311.1797265625,311.197109375,311.2896484375,311.39140625,9.234094,9.140722,8.581817,9.231038
297.620546875,297.637265625,297.7255078125,297.82287109375,11.077028,11.06654,10.330263,11.151676
284.06140625,284.0773828125,284.16140625,284.254375,13.693313,13.726355,12.791569,13.817279
270.50224609375,270.5175,270.59732421875,270.68587890625,17.27426,17.311697,16.09285,17.446896
256.9430859375,256.95755859375,257.0332421875,257.1173828125,21.701906,21.772272,20.322468,21.9448
243.38390625,243.397578125,243.46921875,243.54890625,26.581797,26.474817,25.17391,26.830687
229.8248046875,229.8376171875,229.90525390625,229.9805078125,31.162893,30.720936,29.889992,31.325817
216.26572265625,216.27771484375,216.341328125,216.41203125,34.71916,34.15133,33.71097,34.752647
202.7066796875,202.71787109375,202.77744140625,202.84353515625,36.909428,36.44861,36.230022,36.918564
189.14767578125,189.1580859375,189.21359375,189.2750390625,37.879456,37.57045,37.456715,37.898518
175.5887109375,175.598359375,175.649765625,175.7065625,37.98415,37.730602,37.85552,38.01371
