N/A,N/A
p1,p2,p3,p4,wsm6,kessler,thompson,morrison
1006.135859375,1006.25515625,1006.1178125,1005.880390625,60.5372,59.857307,59.162807,60.402336
992.38296875,992.506015625,992.3703125,992.142421875,64.03014,62.84389,62.04997,63.883755
978.630078125,978.7575,978.6234375,978.40484375,67.96114,66.58669,65.708916,67.81112
964.87703125,965.009140625,964.87671875,964.667265625,72.18276,70.46118,69.518524,72.02167
951.1240625,951.26109375,951.130390625,950.93,76.70014,74.48299,73.449066,76.52254
937.37140625,937.51359375,937.3846875,937.19328125,81.527306,78.50053,77.335144,81.32151
923.619609375,923.7671875,923.64015625,923.4575,86.59653,82.03325,80.65525,86.346436
909.87015625,910.0225,909.8978125,909.7234375,91.20749,83.685905,82.04254,90.889336
896.12765625,896.2821875,896.1603125,895.99375,92.15174,80.61665,78.94521,91.90681
882.40578125,882.551875,882.431328125,882.272265625,85.09329,69.772,68.915764,85.81548
868.7071875,868.8359375,868.712578125,868.58421875,63.8389,53.536938,52.689877,67.278984
855.039296875,855.1678125,855.04671875,854.93875,42.163227,35.7756,35.075737,44.08673
841.4078125,841.539921875,841.4265625,841.3125,35.296295,35.6392,34.54704,35.439194
827.7871875,827.911875,827.804375,827.691484375,36.43539,36.334232,35.40628,36.935017
814.165,814.285,814.1834375,814.07,37.37447,36.783783,35.943794,37.934387
800.544453125,800.660625,800.5646875,800.44890625,37.814987,37.062233,36.2552,38.349655
786.9259375,787.0384375,786.94796875,786.829609375,38.24492,37.4105,36.612514,38.756416
773.30921875,773.417890625,773.332890625,773.21203125,38.781536,37.839504,37.05136,39.285934
759.6940625,759.798984375,759.719375,759.596328125,39.42061,38.313007,37.540768,39.91546
746.079609375,746.181875,746.1075,745.9825,40.100792,38.79163,38.043777,40.59208
732.464140625,732.5665625,732.496953125,732.37046875,40.723175,39.256798,38.54608,41.220646
718.84640625,718.953203125,718.8878125,718.76015625,41.321156,39.742943,39.07726,41.866165
705.2309375,705.34171875,705.28015625,705.15140625,41.94346,40.296383,39.682907,42.502174
691.62359375,691.73203125,691.67390625,691.54421875,42.60468,40.925907,40.365803,43.17811
678.0203125,678.1240625,678.06890625,677.9384375,43.5368,41.704426,41.1803,44.116024
664.4171875,664.5175,664.4653125,664.3340625,44.556026,42.54364,42.05939,45.13121
650.8158203125,650.912578125,650.863125,650.73125,45.65217,43.435238,42.99302,46.21625
637.2156640625,637.30921875,637.2625,637.12984375,46.826054,44.378323,43.97635,47.375008
623.6166796875,623.707421875,623.663359375,623.529921875,48.081974,45.382214,45.014885,48.610718
610.01890625,610.1072265625,610.0659375,609.931484375,49.41695,46.46008,46.118076,49.91661
596.42234375,596.508671875,596.47015625,596.3346484375,50.845608,47.634735,47.303616,51.31037
582.82703125,582.91171875,582.8758984375,582.739453125,52.387867,48.933483,48.593006,52.813034
569.233046875,569.316328125,569.28296875,569.14578125,54.06363,50.386166,50.003826,54.442986
555.640546875,555.72265625,555.6912890625,555.55375,55.892906,52.025166,51.531982,56.21396
542.0495703125,542.13046875,542.100703125,541.9633203125,57.891758,53.885372,53.13515,58.130966
528.460234375,528.5398046875,528.51125,528.3744921875,60.05871,56.00741,54.73876,60.184486
514.87265625,514.950546875,514.923359375,514.787421875,62.337547,58.438385,56.274162,62.342014
501.286875,501.3625,501.33703125,501.2020703125,64.58424,61.228394,57.715237,64.55773
487.70296875,487.775625,487.752421875,487.618515625,66.61663,64.44067,59.085377,66.811516
474.12078125,474.190078125,474.169453125,474.03671875,68.32701,68.20609,60.44379,69.10896
460.5403125,460.6058203125,460.587890625,460.4565625,69.85782,72.75672,61.878063,71.408005
446.9613671875,447.02265625,447.0074609375,446.87796875,71.357124,78.03296,63.437714,73.67192
433.3840625,433.4405078125,433.42796875,433.3010546875,72.37714,82.78501,64.99871,75.69874
419.808515625,419.859609375,419.84953125,419.725859375,71.19467,82.70277,64.04192,75.16313
406.2346875,406.2806640625,406.2726953125,406.152578125,69.22144,79.46483,61.646786,73.59436
392.6625,392.703984375,392.69765625,392.5811328125,67.1887,75.58611,59.257744,71.984116
379.091796875,379.129375,379.124375,379.01140625,65.33393,72.50799,57.334503,70.67414
365.52234375,365.556484375,365.552578125,365.443203125,63.589756,70.343666,55.741352,69.55156
351.9540625,351.985,351.9821484375,351.87640625,61.858543,68.70555,54.292652,68.43007
338.3868359375,338.41484375,338.412890625,338.310859375,60.087997,67.28675,52.88788,67.22244
324.82056640625,324.8458984375,324.84474609375,324.7465625,58.255905,65.96035,51.425648,65.88418
311.25515625,311.27806640625,311.277578125,311.18328125,56.326756,64.65979,49.743317,64.37975
297.69046875,297.71125,297.7112890625,297.6209375,54.278156,63.310772,47.656853,62.57943
284.12642578125,284.14529296875,284.14578125,284.059375,52.191975,61.84483,44.72918,60.66712
270.5629296875,270.58009765625,270.5809375,270.498515625,49.98171,60.23518,41.401966,58.77097
256.9998046875,257.0155078125,257.016640625,256.9382421875,47.551125,58.526775,38.143272,56.8042
243.43705078125,243.4514453125,243.4528125,243.37841796875,44.854324,56.791115,35.081543,54.68098
229.87458984375,229.8878125,229.889375,229.81900390625,41.895374,55.109005,32.16361,52.340782
216.31232421875,216.3244921875,216.32615234375,216.2598828125,38.707436,53.560955,29.205166,49.7081
202.7501953125,202.76138671875,202.7630859375,202.7009765625,35.440384,52.437023,26.177305,46.67602
189.188125,189.1984375,189.20015625,189.1422265625,32.248188,51.87638,23.254002,43.20504
175.6261328125,175.6355859375,175.637265625,175.58359375,30.033653,52.775146,20.996433,39.83847
162.06416015625,162.0728125,162.074375,162.025,29.560366,55.743507,19.831163,37.531776
148.50220703125,148.510068359375,148.511533203125,148.4664453125,31.94419,66.479935,22.335995,38.37832
134.940302734375,134.9473828125,134.94875,134.9079296875,33.31795,85.29568,32.272617,44.08517
121.378408203125,121.3847265625,121.38595703125,121.34943359375,38.22619,96.892914,51.27078,53.43089
107.816513671875,107.82208984375,107.82318359375,107.79095703125,16.126375,33.113045,18.82543,18.807358
94.254619140625,94.259443359375,94.260390625,94.2324609375,5.223958,8.926904,5.3263392,5.274882
80.692724609375,80.696806640625,80.6976171875,80.673984375,3.0417855,4.334403,2.8374476,2.7286267
67.13083984375,67.134169921875,67.134833984375,67.115498046875,2.2384858,2.548911,1.9183764,1.8119084
53.568916015625,53.5715087890625,53.57203125,53.5569921875,1.5274242,1.3719423,1.2348171,1.1230605
40.007001953125,40.0088525390625,40.0092236328125,39.9984814453125,0.7989804,0.5514752,0.60969025,0.5370684
26.4451171875,26.44622802734375,26.4464501953125,26.4400048828125,0.23562701,0.1279322,0.17237677,0.144832
12.88323486328125,12.88360595703125,12.88367919921875,12.881531982421874,0.0030137633,0.0016077472,0.0023302725,0.0017794005
