N/A,N/A
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
1006.135859375,1005.803125,1006.02578125,1006.1053125,60.5372,60.613857,56.284,61.473423
992.38296875,992.05890625,992.2853125,992.3553125,64.03014,64.02712,59.112865,65.12063
978.630078125,978.3140625,978.54546875,978.605390625,67.96114,67.917046,62.486996,69.10246
964.87703125,964.5684375,964.80578125,964.855625,72.18276,72.251945,66.14166,73.328
951.1240625,950.821875,951.06609375,951.10609375,76.70014,77.09438,70.01857,77.8553
937.37140625,937.07421875,937.326484375,937.35640625,81.527306,82.60069,74.05751,82.71097
923.619609375,923.32609375,923.58703125,923.61,86.59653,87.651825,78.0471,87.669556
909.87015625,909.57828125,909.847734375,909.87421875,91.20749,88.91213,81.23714,90.762955
896.12765625,895.84125,896.10875,896.15703125,92.15174,84.13448,81.49883,87.634026
882.40578125,882.12828125,882.370546875,882.4675,85.09329,77.69653,75.420364,79.6499
868.7071875,868.4428125,868.6609375,868.8084375,63.8389,70.63089,61.04734,61.41343
855.039296875,854.78890625,855.004375,855.171875,42.163227,59.812054,45.09896,38.034245
841.4078125,841.1646875,841.378515625,841.545390625,35.296295,41.201546,35.42573,33.36262
827.7871875,827.5515625,827.758125,827.9209375,36.43539,31.741467,34.088474,34.484314
814.165,813.9384375,814.138125,814.29703125,37.37447,31.06181,35.06579,35.227135
800.544453125,800.326875,800.518984375,800.674375,37.814987,31.491426,35.673664,35.641396
786.9259375,786.717109375,786.9015625,787.05359375,38.24492,31.970594,36.04388,36.057487
773.30921875,773.10875,773.28625,773.434765625,38.781536,32.437805,36.41513,36.55973
759.6940625,759.5015625,759.673515625,759.81765625,39.42061,32.94739,36.856686,37.136242
746.079609375,745.89578125,746.06359375,746.2021875,40.100792,33.525085,37.34712,37.77167
732.464140625,732.291328125,732.45609375,732.58828125,40.723175,34.176643,37.870552,38.45082
718.84640625,718.688046875,718.85046875,718.97578125,41.321156,34.90442,38.440052,39.184113
705.2309375,705.0859375,705.24625,705.364921875,41.94346,35.703884,39.069088,39.96031
691.62359375,691.485,691.6434375,691.75546875,42.60468,36.570312,39.771255,40.806522
678.0203125,677.885234375,678.04203125,678.14734375,43.5368,37.53453,40.57114,41.757923
664.4171875,664.2865625,664.44234375,664.540625,44.556026,38.589256,41.420204,42.790024
650.8158203125,650.688984375,650.8440625,650.935234375,45.65217,39.740143,42.31045,43.90426
637.2156640625,637.092578125,637.246953125,637.3311328125,46.826054,40.994442,43.246548,45.111584
623.6166796875,623.497265625,623.65078125,623.7283203125,48.081974,42.369514,44.24093,46.4165
610.01890625,609.903203125,610.0553515625,610.126953125,49.41695,43.872833,45.300648,47.820446
596.42234375,596.3103515625,596.460703125,596.52703125,50.845608,45.51985,46.43538,49.337185
582.82703125,582.7187109375,582.8669140625,582.92859375,52.387867,47.33609,47.649517,50.982178
569.233046875,569.1283203125,569.27421875,569.33171875,54.06363,49.353447,48.938526,52.76637
555.640546875,555.5392578125,555.68296875,555.736328125,55.892906,51.60259,50.293022,54.69996
542.0495703125,541.951484375,542.093203125,542.1422265625,57.891758,54.10282,51.714355,56.79646
528.460234375,528.3648828125,528.5048828125,528.5493359375,60.05871,56.86168,53.225796,59.06131
514.87265625,514.779609375,514.91796875,514.9576953125,62.337547,59.89185,54.856358,61.490047
501.286875,501.19578125,501.332265625,501.36734375,64.58424,63.17834,56.60109,64.0424
487.70296875,487.613515625,487.747890625,487.7785546875,66.61663,66.4449,58.37944,66.55754
474.12078125,474.032890625,474.1649609375,474.1915234375,68.32701,69.09754,60.048904,68.68752
460.5403125,460.4540625,460.5836328125,460.606328125,69.85782,70.94799,61.495106,70.2424
446.9613671875,446.8771484375,447.0041796875,447.021953125,71.357124,72.14341,62.49449,71.25712
433.3840625,433.3021875,433.42671875,433.4380078125,72.37714,72.51614,62.753483,71.56983
419.808515625,419.729296875,419.85125,419.8557421875,71.19467,70.48698,60.69695,70.12209
406.2346875,406.1583203125,406.2775,406.27578125,69.22144,68.24579,58.321682,68.16188
392.6625,392.5890625,392.7053125,392.698046875,67.1887,66.2594,56.020275,66.19957
379.091796875,379.02125,379.1344921875,379.1223046875,65.33393,64.46339,53.860046,64.34265
365.52234375,365.454765625,365.5648828125,365.5483984375,63.589756,62.718018,51.76765,62.53079
351.9540625,351.889375,351.99625,351.97609375,61.858543,60.95444,49.678036,60.698666
338.3868359375,338.3250390625,338.4284765625,338.40546875,60.087997,59.1395,47.598003,58.813454
324.82056640625,324.761640625,324.86146484375,324.83646484375,58.255905,57.234875,45.525272,56.857773
311.25515625,311.1990625,311.295078125,311.26875,56.326756,55.20045,43.44519,54.809364
297.69046875,297.6371875,297.72921875,297.7021484375,54.278156,53.031742,41.353256,52.66175
284.12642578125,284.075859375,284.163828125,284.136484375,52.191975,50.851383,39.251583,50.489
270.5629296875,270.515,270.598828125,270.5716015625,49.98171,48.572807,37.06068,48.213776
256.9998046875,256.9544921875,257.0341015625,257.00734375,47.551125,46.15295,34.736115,45.76018
243.43705078125,243.3942578125,243.46966796875,243.4436328125,44.854324,43.62008,32.257236,43.110035
229.87458984375,229.8342578125,229.90544921875,229.8803515625,41.895374,41.01585,29.67093,40.265274
216.31232421875,216.27443359375,216.3413671875,216.31744140625,38.707436,38.335705,27.09263,37.218536
202.7501953125,202.7147265625,202.7773828125,202.754765625,35.440384,35.567924,24.69057,34.017952
189.188125,189.155078125,189.2134765625,189.19228515625,32.248188,32.90531,22.61341,30.910282
175.6261328125,175.59552734375,175.64962890625,175.629921875,30.033653,31.216963,21.315197,28.781122
162.06416015625,162.035986328125,162.08578125,162.0676171875,29.560366,31.331814,21.625105,28.851599
148.50220703125,148.476484375,148.521962890625,148.5053515625,31.94419,33.044235,24.314064,31.29644
134.940302734375,134.91703125,134.95818359375,134.94314453125,33.31795,32.939922,29.968302,33.272987
121.378408203125,121.357578125,121.394404296875,121.3809375,38.22619,39.510544,39.319004,39.931263
107.816513671875,107.79814453125,107.830634765625,107.81875,16.126375,16.542036,16.899464,17.835175
