N/A,N/A
p1,p2,p3,p4,wsm6,kessler,thompson,morrison
1006.3321875,1006.48421875,1006.7578125,1006.1640625,84.877,83.98608,84.945946,84.9462
992.580625,992.72921875,993.00171875,992.41359375,88.79409,87.925385,88.86477,88.86486
978.83078125,978.97625,979.2478125,978.665,92.884125,92.11267,92.945946,92.94749
965.08265625,965.224921875,965.4946875,964.91875,96.10836,95.56232,96.16594,96.155365
951.34265625,951.4796875,951.7459375,951.18140625,92.80636,92.79037,92.83319,92.92434
937.612734375,937.74546875,938.0075,937.45390625,90.25109,90.047676,90.23939,90.34134
923.88953125,924.019921875,924.2784375,923.73265625,88.775894,89.140236,88.70454,88.7657
910.1740625,910.301875,910.557265625,910.02015625,87.145935,87.677986,87.19282,87.113106
896.465859375,896.59140625,896.843203125,896.318515625,85.48032,85.88831,85.42358,85.404396
882.76453125,882.8875,883.136328125,882.62609375,83.63208,84.179306,83.5315,83.42752
869.0709375,869.1903125,869.436875,868.94015625,81.99873,82.624405,81.78031,81.62103
855.38640625,855.499921875,855.74421875,855.26140625,80.50011,81.21877,80.26044,80.13864
841.7096875,841.81578125,842.05875,841.59015625,79.12682,79.85949,78.9109,78.829926
828.03859375,828.137109375,828.38,827.925625,77.89535,78.59866,77.68166,77.53397
814.373125,814.46453125,814.7065625,814.2659375,76.67418,77.30676,76.37532,76.18066
800.7140625,800.799375,801.03796875,800.61,74.99794,75.5939,74.68749,74.200165
787.0621875,787.139296875,787.376328125,786.959453125,71.851746,72.80988,71.44723,70.75075
773.41734375,773.4871875,773.72296875,773.3175,67.156715,68.67562,66.673645,65.97006
759.77859375,759.844453125,760.07640625,759.683046875,64.13657,65.489044,63.72109,63.347187
746.14390625,746.20578125,746.434453125,746.0515625,64.98402,65.80085,64.605,64.23759
732.5115625,732.56953125,732.795,732.42109375,66.93204,67.46796,66.560326,66.14241
718.88078125,718.934921875,719.1571875,718.79203125,69.12574,69.50321,68.771255,68.309654
705.25125,705.30171875,705.5209375,705.164296875,70.82342,71.320946,70.508934,70.02429
691.623046875,691.6696875,691.886171875,691.53765625,72.09445,72.72078,71.789825,71.30382
