N/A,N/A
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
1006.3321875,1006.347890625,1006.678515625,1006.806796875,84.877,84.41546,81.421524,83.51709
992.580625,992.593828125,992.9284375,993.0509375,88.79409,88.95794,85.75216,88.169785
978.83078125,978.8409375,979.17953125,979.295859375,92.884125,93.617096,90.386925,92.99173
965.08265625,965.0934375,965.431875,965.54390625,96.10836,95.03824,95.06512,95.264755
951.34265625,951.3540625,951.688515625,951.79515625,92.80636,93.18607,96.039505,93.64041
937.612734375,937.62390625,937.95359375,938.05484375,90.25109,92.61036,95.64548,92.65916
923.88953125,923.901796875,924.226640625,924.32375,88.775894,91.566605,95.66175,91.14266
910.1740625,910.184609375,910.50515625,910.6003125,87.145935,89.94725,94.94789,89.5287
896.465859375,896.476875,896.7871875,896.886640625,85.48032,88.070076,94.26729,87.28893
882.76453125,882.77828125,883.071484375,883.18,83.63208,86.19249,93.70325,85.10237
869.0709375,869.0825,869.3575,869.48046875,81.99873,84.23662,93.11784,83.247
855.38640625,855.38953125,855.65375,855.7878125,80.50011,82.516014,92.23171,81.60892
841.7096875,841.70671875,841.9609375,842.10203125,79.12682,81.02133,90.78881,80.068405
828.03859375,828.034296875,828.2725,828.4221875,77.89535,79.52047,88.82887,78.59968
814.373125,814.3665625,814.590390625,814.74609375,76.67418,78.141396,86.81956,77.07316
800.7140625,800.70390625,800.916015625,801.0771875,74.99794,76.56258,84.625305,75.08828
787.0621875,787.0490625,787.25140625,787.4146875,71.851746,74.47092,80.73051,71.94887
773.41734375,773.4028125,773.5959375,773.75203125,67.156715,71.120255,75.42293,67.49063
759.77859375,759.763984375,759.946484375,760.09765625,64.13657,66.80537,71.33806,64.06341
746.14390625,746.130625,746.301640625,746.4546875,64.98402,64.852264,69.255516,64.52956
732.5115625,732.50046875,732.660859375,732.81515625,66.93204,65.382576,68.30485,66.31993
718.88078125,718.871875,719.023125,719.177421875,69.12574,67.19325,68.69264,68.58562
705.25125,705.24453125,705.38734375,705.541015625,70.82342,69.05752,70.60631,70.63455
691.623046875,691.617734375,691.753203125,691.9059375,72.09445,70.407295,73.00169,72.08364
677.9965625,677.99171875,678.1203125,678.272109375,73.20371,71.50676,75.20279,73.249275
664.3721875,664.36703125,664.488515625,664.63921875,73.755356,72.29888,77.15958,74.07967
