335.28563690185547,1444
p1,p2,p3,p4,ysu,mynn2,acm2,gbm
1006.3321875,1006.347890625,1006.678515625,1006.806796875,343.5755626966366,343.96152333734324,344.428159378251,344.1794175348089
992.580625,992.593828125,992.9284375,993.0509375,340.8855682093853,340.98575224542014,341.4982709352092,341.27603606100547
978.83078125,978.8409375,979.17953125,979.295859375,338.50193583517404,338.33603756729883,338.91516255434993,338.6344355694064
965.08265625,965.0934375,965.431875,965.54390625,336.58229773581525,336.70387301084247,336.6131218909784,336.84412219830034
951.34265625,951.3540625,951.688515625,951.79515625,336.22518333835734,336.58727808804025,335.73702071170555,336.52347282735076
937.612734375,937.62390625,937.95359375,938.05484375,335.7686489164334,335.72060304533517,334.9736279223836,335.6738089079367
923.88953125,923.901796875,924.226640625,924.32375,335.15106002271796,335.1503475176533,334.3575154495515,335.14747971823266
910.1740625,910.184609375,910.50515625,910.6003125,334.5505568003832,334.68523980207624,333.92875361794825,334.6585542841385
896.465859375,896.476875,896.7871875,896.886640625,333.97548088373077,334.2443882029448,333.4931775760392,334.2557124313995
882.76453125,882.77828125,883.071484375,883.18,333.4313386247603,333.8033694207869,333.0534020838994,333.8285249575353
869.0709375,869.0825,869.3575,869.48046875,332.8698672213224,333.3503689786598,332.6524026306502,333.32917060070645
855.38640625,855.38953125,855.65375,855.7878125,332.30590930461847,332.8553641943708,332.36381979047366,332.8003583902321
841.7096875,841.70671875,841.9609375,842.10203125,331.7439056585203,332.3373531487505,332.18901614544126,332.2774278849089
828.03859375,828.034296875,828.2725,828.4221875,331.2144770886521,331.82161848104795,332.098009975407,331.77968124347797
814.373125,814.3665625,814.590390625,814.74609375,330.71257819066295,331.3202041362659,331.9864411119636,331.3282586720537
800.7140625,800.70390625,800.916015625,801.0771875,330.31329220554744,330.8700054543942,331.8566010988322,330.9763534604491
787.0621875,787.0490625,787.25140625,787.4146875,330.17845088048415,330.52224582325607,331.9733790902468,330.86057529008366
773.41734375,773.4028125,773.5959375,773.75203125,330.30844017316093,330.3743855370205,332.3250839974912,330.9999504518305
759.77859375,759.763984375,759.946484375,760.09765625,330.22133963756585,330.36449250766765,332.5220819166262,331.0057985758968
746.14390625,746.130625,746.301640625,746.4546875,329.5698888268106,330.0684303369049,332.3995032234257,330.40960932608857
732.5115625,732.50046875,732.660859375,732.81515625,328.8100766305874,329.4755686924516,332.0756395959993,329.638246543544
718.88078125,718.871875,719.023125,719.177421875,328.2068176498275,328.8845017145963,331.5385050908459,328.946146573212
705.25125,705.24453125,705.38734375,705.541015625,328.08548482148365,328.65533783898064,330.8553205998006,328.597324583986
691.623046875,691.617734375,691.753203125,691.9059375,328.381587217639,329.00068262644805,330.3518240002097,328.7717515847869
677.9965625,677.99171875,678.1203125,678.272109375,328.69622890889815,329.40326275528065,330.2834941686942,329.11747755125975
664.3721875,664.36703125,664.488515625,664.63921875,328.9036869481942,329.6548447500026,330.51068017105496,329.3446977857782
650.7509765625,650.7449609375,650.858359375,651.007421875,328.9520771323747,329.7055593796395,330.6455257109528,329.40024876298827
637.133515625,637.126640625,637.231171875,637.378203125,328.9371671015291,329.65865382049776,330.6377214551217,329.3752238964917
623.520234375,623.5125,623.60828125,623.753046875,328.92290654201645,329.5960408946037,330.5952931969339,329.3415364464285
609.91109375,609.902421875,609.990078125,610.132734375,328.9584567853191,329.60091605737165,330.6117102074315,329.3656165133344
596.30609375,596.29640625,596.376328125,596.517109375,329.0319621239922,329.63341276971744,330.653759608086,329.4246062314035
582.705234375,582.694609375,582.7669921875,582.906171875,329.1445115006009,329.70896342769777,330.7362030294322,329.52020107961386
569.108671875,569.097265625,569.16234375,569.299921875,329.3022419768728,329.839742068578,330.85281103610157,329.6619339196452
